	en	fr	es
error_analysis_stopped_corrupted_video_file	Video analysis quitted due to corrupted video file.	L'analyse de la vidéo s'est arrêté dû à des fichiers vidéos corrompus.	El análisis del video se ha interrumpido debido a archivos videos corruptos. 
error_analysis_stopped_unsupported_file_extension	Video analysis quitted due to unsupported file extension.	L'analyse de la vidéo s'est arrêté dû à un format vidéo non supporté.	El análisis del video se ha interrumpido debido a un formato video incompatible.
error_conflict	The video is already being processed by this user.	La vidéo est déjà en analyse par cet utilisateur.	Ya se está analizando este video por este usuario.
wait_video_waiting_in_queue	Video in queue for analysis. The analysis of your video will start immediately after all preceding videos in the queue have been processed.	Vidéo en file d'attente pour analyse. L'analyse de votre vidéo commencera immédiatement après que toutes les vidéos précédentes de la file d'attente auront été traitées.	Análisis del video en espera. El análisis del video empezará inmediatamente después de que todos los videos en espera hayan sido tratados.
wait_video_download_started	The video is being downloaded before its analysis.	La vidéo est en train d'être téléchargé avant analyse.	Se guarda el video en caché antes de analizarla
wait_started	Video analysis running. Step	Analyse de la vidéo en cours. Etape 	Análisis de vídeo en marcha. Paso
metadata_title	Video Metadata	Métadonnées de la video	Metadatos del video
metadata_name_1	Moov	Moov	Moov
metadata_name_2	Duration	Durée	Duración
metadata_name_3	Timescale	Unité de temps	Escala temporal
metadata_name_4	Duration of fragment	Durée d'un fragment	Duración del fragmento
metadata_name_5	Fragmented	Fragmenté	Fragmentado
metadata_name_6	Progressive	Progressive	Progresiva
metadata_name_7	IOD	IOD	IOD
metadata_name_8	Brands	Type	Marcas
metadata_name_9	Created time	Date de création	Fecha de creación
metadata_name_10	Modified time	Date de modification	Fecha de modificación
metadata_desc_1			
metadata_desc_2	Number providing the duration of the movie (unfragmented part) in timescale units	Nombre donnant la durée du film (partie défragmentée) en unité de temps	Número que indica la duración del video (parte no fragmentada) en unidades de tiempo.
metadata_desc_3	Number corresponding to the timescale as given in the movie header	Nombre correspondant è l'unité de temps donnée dans l'entête du film	Número correspondiente a la escala de tiempo tal y como aparece en el encabezamiento del video
metadata_desc_4	Boolean indicating if the file is already fragmented	Booléen indiquant si le film est déjà fragmenté	Booleano que indica si el archivo ya está fragmentado
metadata_desc_5	Number giving the duration of the fragmented part of the file in timescale units	Number donnant la durée de la partie fragmentée du film en unité de temps	Número que indica la duración de la parte fragmentada del video en unidades de tiempo
metadata_desc_6	Boolean indicating if the file can be played progressively	Booléen indiquant si le fichier peut être lu progressivement	Booleano que indica si el archivo puede ser leido progresivamente
metadata_desc_7	Boolean indicating if the the file contains an MPEG-4 Initial Object Descriptor	Booléen indiquant si le fichier contient un MPEG-4 Initial Object Descriptor	Booleano que indica si el archivo contiene un descriptor de objeto MPEG-4
metadata_desc_8	Array of 4CC codes corresponding to the file brands as given in the ftyp box	Tableau de code 4CC correspondant au type de fichier comme donné dans la boite ftyp	Matriz de códigos 4CC correspondientes a las marcas de archivo tal y como aparecen en la casilla ftyp
metadata_desc_9	Date object indicating the creation date of the file as given in the movie header	Date indiquant la date de création du fichier comme donné dans l'entête du film	Fecha que indica la fecha de creación del archivo tal y como aparece en la cabecera de la película.
metadata_desc_10	Date object indicating the last modification date of the file as given in the movie header	Date indiquant la date de dernière modification du fichier comme donnée dans l'entête du film	Fecha que indica la fecha de última modificación del archivo como dato en la cabecera del video
track_title	Video Track	Piste vidéo	Pista de video
track_name_1	Identifier	Identifiant	Identificador
track_name_2	References	Réferences	Referencias
track_name_3	Created time	Date de création	Fecha de creación
track_name_4	Modified time	Date de modification	Fecha de modificación
track_name_5	Movie duration	Durée du film	Duración del video
track_name_6	Layer	Couches	Capas
track_name_7	Alternate group	Groupes alternatifs	Grupo alternativo
track_name_8	Volume	Volume	Volumen
track_name_9	Width	Largeur	Largo
track_name_10	Height	Hauteur	Altura
track_name_11	Timescale	Unité de temps	Escala de tiempo
track_name_12	Duration	Durée	Duración
track_name_13	Codec	Codec	códec
track_name_14	Language	Langage	Idioma
track_name_15	Samples	Echantillon	Muestras
track_name_16	Size	Taille	Tamaño
track_name_17	Bitrate	Taux de bit	Tasa de bits
track_desc_1	Number; giving track identifier	Nombre; Identifiant de la piste	Número; identificador de la pista
track_desc_2			
track_desc_3	Date object; indicating the creation date of the file as given in the track header	Date; indiquant la date de création du fichier comme donnée dans l'entête de la piste	Fecha; indicando la fecha de creación del fichero tal y como aparece en la cabecera de la pista
track_desc_4	Date object; indicating the last modification date of the file as given in the track header	Date; indiquant la date de dernière modification du fichier comme donnée dans l'entête de la piste	Fecha; indicando la fecha de última modificación del fichero tal y como aparece en la cabecera de la pista
track_desc_5			
track_desc_6	Number; layer information as indicated in the track header	Nombre; information de couche indiqué dans l'entête de piste	Número; información de capa como se indica en el encabezado de la pista
track_desc_7	Number; identifier of the alternate group the track belongs to	Nombre; identifiant du groupe alternatif auquel la piste appartient	Número; identificador del grupo alternativo del cual pertenece la pista
track_desc_8			
track_desc_9	Number; width of the track as indicated in the track header	Nombre; largeur de la piste comme indiqué dans l'entête de piste	Número; anchura de la pista como indicado en el encabezamiento de la pista
track_desc_10	Number; height of the track as indicated in the track header	Nombre; hauteur de la piste comme indiqué dans l'entête de piste	Número; altura de la pista como indicado en el encabezamiento de la pista
track_desc_11	Number; indicating the track timescale as given in the track header	Nombre; indiquant l'unité de temps de la piste comme donné dans l'entête de la piste	Número; indicando la unidad de tiempo de la pista como indicado en el encabezamiento de la pista
track_desc_12	Number; providing the duration of the (unfragmented part of) track in timescale units	Nombre; donnant la duréee de la (partie défragmentée de la) piste en unité de temps	Número; indicando la duración de la (parte desfragmentada de la) pista en unidad de tiempo
track_desc_13	String; giving the MIME codecs parameter for this track (e.g. ''avc1.42c00d'' or ''mp4a.40.2'') to be used to create SourceBuffer objects with Media Source Extensions	Chaîne de charactère; donnant les paramètres codecs MIME pour cette piste (ex. ''avc1.42c00d'' ou ''mp4a.40.2'') pour être utilisé pour créer un objet SourceBuffer avec Media Source Extensions	Cadena de carácter; indicando los parametros codecs MIME para esta pista (ej. "avc1.42c00d" o "mp4a.40.2') para utilizarla para crear un objeto SourceBuffer con Media Source Extensions
track_desc_14	String; giving the 3-letter language code	Chaîne de charactère; donnant le code de langage à 3 lettres	Cadena de carácter; indicando el código de idioma con 3 letras
track_desc_15	Number; giving the number of track samples (ie. frames)	Nombre; donnant le nombre d'échantillons de piste (c-à-d images)	Número; indicando el número de muestras de pista (es decir imágenes)
track_desc_16			
track_desc_17	Number; providing the bitrate of the track in bits per second	Nombre; taux de bits par second de la piste	Número; tasa de bits por segundo de la pista
audio_title	Audio track	Piste audio	Pista audio
audio_name_1	Identifier	Identifiant	Identificador
audio_name_2	References	Réferences	Referencias
audio_name_3	Created time	Date de création	Fecha de creación
audio_name_4	Modified time	Date de modification	Fecha de modificación
audio_name_5	Movie duration	Durée du film	Duración del video
audio_name_6	Layer	Couches	Capa
audio_name_7	Alternate group	Groupes alternatifs	Grupo alternativo
audio_name_8	Volume	Volume	Volumen
audio_name_9	Width	Largeur	Anchura
audio_name_10	Height	Hauteur	Altura
audio_name_11	Timescale	Unité de temps	Unidad de tiempo
audio_name_12	Duration	Durée	Duración
audio_name_13	Codec	Codec	Códec
audio_name_14	Language	Langage	Idioma
audio_name_15	Samples	Echantillon	Muestras
audio_name_16	Size	Taille	Tamaño
audio_name_17	Bitrate	Taux de bit	Tasa de bits
audio_desc_1	Number; giving track identifier	Nombre; Identifiant de la piste	Número; identificador de pista
audio_desc_2			
audio_desc_3	Date object; indicating the creation date of the file as given in the track header	Date; indiquant la date de création du fichier comme donnée dans l'entête de la piste	Fecha; indicando la fecha de creación del fichero como indicado en el encabezamiento de la pista
audio_desc_4	Date object; indicating the last modification date of the file as given in the track header	Date; indiquant la date de dernière modification du fichier comme donnée dans l'entête de la piste	Fecha; indicando la fecha de la ultima modificación del fichero como indicado en el encabezamiento de la pista
audio_desc_5			
audio_desc_6	Number; layer information as indicated in the track header	Nombre; information de couche indiqué dans l'entête de piste	Número; información de la capa indicada en el encabezamiento de la pista
audio_desc_7	Number; identifier of the alternate group the track belongs to	Nombre; identifiant du groupe alternatif auquel la piste appartient	Número; identificación del grupo alternativo del cual pertenece la pista
audio_desc_8			
audio_desc_9	Number; width of the track as indicated in the track header	Nombre; largeur de la piste comme indiqué dans l'entête de piste	Número; anchura de la pista como indicado en el encabezamiento de la pista
audio_desc_10	Number; height of the track as indicated in the track header	Nombre; hauteur de la piste comme indiqué dans l'entête de piste	Número; altura de la pista como indicado en el encabezamiento de la pista 
audio_desc_11	Number; indicating the track timescale as given in the track header	Nombre; indiquant l'unité de temps de la piste comme donné dans l'entête de la piste	Número; indicando la unidad de tiempo de la pista como indicado en el encabezamiento de la pista 
audio_desc_12	Number; providing the duration of the (unfragmented part of) track in timescale units	Nombre; donnant la duréee de la (partie défragmentée de la) piste en unité de temps	Número; indicando la duración de la (parte desfragmentada de la) pista en unidad de tiempo
audio_desc_13	String; giving the MIME codecs parameter for this track (e.g. ''avc1.42c00d'' or ''mp4a.40.2'') to be used to create SourceBuffer objects with Media Source Extensions	Chaîne de charactère; donnant les paramètres codecs MIME pour cette piste (ex. ''avc1.42c00d'' ou ''mp4a.40.2'') pour être utilisé pour créer un objet SourceBuffer avec Media Source Extensions	Cadena de carácter; indicando los parametros codecs MIME para esta pista (ej. "avc1.42c00d" o "mp4a.40.2') para utilizarla para crear un objeto SourceBuffer con Media Source Extensions
audio_desc_14	String; giving the 3-letter language code	Chaîne de charactère; donnant le code de langage à 3 lettres	Cadena de carácter; indicando el código de idioma con 3 letras
audio_desc_15	Number; giving the number of track samples (ie. frames)	Nombre; donnant le nombre d'échantillons de piste (c-à-d images)	Número; indicando el número de muestras de pista (es decir imágenes)
audio_desc_16			
audio_desc_17	Number; providing the bitrate of the track in bits per second	Nombre; taux de bits par second de la piste	Número; tasa de bits por segundo de la pista 
metadata_content_title	Metadata	Métadonnées	Metadatos
metadata_content_input	Image URL in jpg/jpeg or video URL in mp4/m4v format	Adresse de l'image au format jpg/jpeg ou video au format mp4/m4v	Enlace del imagen en formato jpg/jpeg o video en formato mp4/m4v
metadata_radio_image	Image	Image	Imagen
metadata_radio_video	Video	Vidéo	Video
metadata_table_error	Video failed loading. Check the URL and try again	Vidéo impossible à charger. Veuillez verifier l'URL et réessayer	Fue imposible descargar el video. Verifica el URL y vuelve a intentarlo
metadata_img_software_title	Software infos	Informations logicielles	Informaciones del software
metadata_img_software_fields_1	Make	Marque	Marca
metadata_img_software_fields_2	Model	Modèle	Modelo
metadata_img_software_fields_3	Orientation	Orientation	Orientación 
metadata_img_software_fields_4	X Resolution	Résolution X	Resolución X
metadata_img_software_fields_5	Y Resolution	Résolution Y	Resolución Y 
metadata_img_software_fields_6	Resolution Unit	Unité de résolution	Unidad de resolución
metadata_img_software_fields_7	Host Computer	Ordinateur hôte	Ordenador host
metadata_img_software_fields_8	Software	Logiciel	Software
metadata_img_software_fields_9	Modify Date	Date modification	Fecha de modificación
metadata_img_software_fields_10	YCbCr Positioning	Positionnement YCbCr	Posicionamiento YCbCr
metadata_img_software_fields_11	Copyright	Droits d'auteurs	Derechos de autor
metadata_img_software_desc_1			
metadata_img_software_desc_2			
metadata_img_software_desc_3			
metadata_img_software_desc_4			
metadata_img_software_desc_5			
metadata_img_software_desc_6			
metadata_img_software_desc_7	The computer and/or operating system in use at the time of image creation	L'ordinateur et/ou système opérateur utilisé au moment où la photo à été créée	El ordenador y/o el sistema operador utilizado en el momento en el que se crea la foto
metadata_img_software_desc_8			
metadata_img_software_desc_9	Timestamp for when you might alter the image or it's metadata	Horodatage de la possibilité de modification de l'image ou de ses métadonnées	Cronomarcador de la posibilidad de modificación de la imagen o de sus metadatos
metadata_img_software_desc_10	Specifies the positioning of subsampled chrominance components relative to luminance samples. Field value 1 (centered) must be specified for compatibility with industry standards such as PostScript Level 2 and QuickTime. Field value 2 (cosited) must be specified for compatibility with most digital video standards, such as CCIR Recommendation 601-1	Spécifie le positionnement des composants de chrominance sous-échantillonnés par rapport aux échantillons de luminance. La valeur de champ 1 (center) doit être spécifiée pour la compatibilité avec les normes de l'industrie telles que PostScript Level 2 et QuickTime. La valeur de champ 2 (cosited) doit être spécifiée pour la compatibilité avec la plupart des normes vidéo numériques, telles que la Recommandation 601-1 du CCIR	Especifica el posicionamiento de los componentes de crominancia submuestreados en relación con las muestras de luminancia. El valor del campo 1 (centrado) debe especificarse para que sea compatible con los estándares del sector, como PostScript Level 2 y QuickTime. El valor del campo 2 (cosited) debe especificarse para que sea compatible con la mayoría de las normas de vídeo digital, como la Recomendación 601-1 del CCIR.
metadata_img_software_desc_11			
metadata_img_general_title	General EXIF infos	Informations EXIF	Informaciones EXIF
metadata_img_general_fields_1	Artist	Artiste	Artista
metadata_img_general_fields_2	Document Name	Nom du document	Nombre del documento
metadata_img_general_fields_3	Page Name	Nom de la page	Nombre de la página
metadata_img_general_fields_4	Exposure Time	Temps d'exposition	Tiempo de exposición
metadata_img_general_fields_5	F-Number	Nombre F	Número F
metadata_img_general_fields_6	Exposure Program	Programme d'exposition	Programa de exposición 
metadata_img_general_fields_7	EXIF Version	Version EXIF	Versión EXIF
metadata_img_general_fields_8	Date Time Original	Horodatage d'origine	Cronomarcador de origen 
metadata_img_general_fields_9	Date Time Digitized	Horodatage numérisée	Cronomarcador numerizado 
metadata_img_general_fields_10	Components Configuration	Configuration des composants	Configuración de los componentes 
metadata_img_general_fields_11	Compressed Bits Per Pixel	Bits compressés par pixel	Bits comprimidos por pixel 
metadata_img_general_fields_12	Exposure Bias	Biais d'exposition	Sesgo de exposición
metadata_img_general_fields_13	Max Aperture Value	Valeur d'ouverture maximale	Valor de apertura maxima
metadata_img_general_fields_14	Metering Mode	Mode de mesure	Modo de medida
metadata_img_general_fields_15	Flash	Flash	Flash
metadata_img_general_fields_16	Focal Length	Longueur focale	Distancia focal
metadata_img_general_fields_17	User Comment	Commentaire utilisateur	Comentario usuario 
metadata_img_general_fields_18	Image Description	Description de l'image	Descripción de la imagen 
metadata_img_general_fields_19	Maker Note	Note du fabricant	Nota del fabricante 
metadata_img_general_fields_20	Subject Distance	Distance du sujet	Distancia del sujeto 
metadata_img_general_fields_21	Flashpix Version	Version Flashpix	Versión Flashpix 
metadata_img_general_fields_22	Color Space	Espace colorimétrique	Espacio ...
metadata_img_general_fields_23	X Dimension	Dimension X	Dimensión X
metadata_img_general_fields_24	Y Dimension	Dimension Y	Dimensión Y
metadata_img_general_fields_25	File Source	Source du fichier	Fuente del fichero
metadata_img_general_desc_1	Person who created the image	Personne qui a créé l'image	Persona que ha creado la imagen
metadata_img_general_desc_2			
metadata_img_general_desc_3			
metadata_img_general_desc_4	The length of time when the film or digital sensor inside the camera is exposed to light	La durée pendant laquelle le film ou le capteur numérique à l'intérieur de l'appareil photo est exposé à la lumière	La duración durante la cual se expone al sol la película o el captor numérico al interior de la cámara 
metadata_img_general_desc_5	The ratio of the system's focal length to the diameter of the entrance pupil	Le rapport entre la distance focale du système et le diamètre de la pupille d'entrée	La diferencia entre la distancia focal del sistema y el diámetro de la pupila de entrada 
metadata_img_general_desc_6	The program used by the camera to set exposure when the picture is taken	Le programme utilisé par l'appareil photo pour définir l'exposition lorsque la photo est prise	El programa utilizado por la cámara para definir la exposición cuando se toma la foto
metadata_img_general_desc_7			
metadata_img_general_desc_8	The date and time when the original image data was generated	La date et l'heure auxquelles les données de l'image d'origine ont été générées	La fecha y la hora en las cuales los datos de la imagen de origen han sido generadas
metadata_img_general_desc_9	The date and time when the image was stored as digital data	La date et l'heure à laquelle l'image a été stockée sous forme de données numériques	La fecha y la hora en la cual la imagen ha sido archivada bajo datos numéricos
metadata_img_general_desc_10	Provided for cases when compressed data uses components other than Y, Cb, and Cr and to enable support of other sequences	Fourni pour les cas où des données compressées utilisent des composants autres que Y, Cb et Cr et pour permettre la prise en charge d'autres séquences	Proporcionado para casos en los que los datos comprimidos utilizan componentes distintos de Y, Cb y Cr y para permitir el soporte de otras secuencias.
metadata_img_general_desc_11			
metadata_img_general_desc_12	Adjustment to either underexpose or overexpose the image	Réglage pour sous-exposer ou surexposer l'image	Ajuste para subexponer o sobreexponer la imagen
metadata_img_general_desc_13	The smallest F number of the lens	Le plus petit nombre F de l'objectif	El número F más pequeño de la lente
metadata_img_general_desc_14			
metadata_img_general_desc_15			
metadata_img_general_desc_16	The actual focal length of the lens, in mm	La distance focale réelle de l'objectif, en mm	La distancia focal real de la lente, en mm
metadata_img_general_desc_17	Keywords or comments on the image	Mots-clés ou commentaires sur l'image	Palabras clave o comentarios sobre la imagen
metadata_img_general_desc_18	A string that describes the subject of the image	Un texte décrivant le sujet de l'image	Una cadena que describe el objeto de la imagen
metadata_img_general_desc_19	Manufacturer specific information	Note du fabricant	Información específica del fabricante
metadata_img_general_desc_20	The distance to the subject, given in meters (0 if unknown and FFFFFFFF if infinite)	La distance jusqu'au sujet de la photo, en mètre (0 si inconnu et FFFFFFFF si infini)	La distancia al sujeto, dada en metros (0 si es desconocida y FFFFFFFFFF si es infinita).
metadata_img_general_desc_21			
metadata_img_general_desc_22	Normally sRGB (=1) is used to define the color space based on the PC monitor conditions and environment. If a color space other than sRGB is used, Uncalibrated (=65535) is set	Normalement, sRGB (= 1) est utilisé pour définir l’espace colorimétrique en fonction des conditions et de l’environnement du moniteur. Si un espace colorimétrique autre que sRGB est utilisé, le paramètre 'Uncalibrated' (= 65535) est défini	Normalmente se utiliza sRGB (=1) para definir el espacio de color basándose en las condiciones y el entorno del monitor de PC. Si se utiliza un espacio de color distinto de sRGB, se establece sin calibrar (=65535).
metadata_img_general_desc_23			
metadata_img_general_desc_24			
metadata_img_general_desc_25			
metadata_img_gps_title	GPS Informations	Informations GPS	Información GPS
metadata_img_gps_fields_1	GPS Latitude Ref.	Ref. Latitude GPS	Latitud GPS Ref.
metadata_img_gps_fields_2	GPS Latitude	Latitude GPS	Latitud GPS
metadata_img_gps_fields_3	GPS Longitude Ref.	Ref. Longitude GPS	Longitud GPS Ref.
metadata_img_gps_fields_4	GPS Longitude	Longitude GPS	Longitud GPS
metadata_img_gps_fields_5	GPS Time Stamp	Horodatage GPS	Marca de tiempo GPS
metadata_img_gps_desc_1			
metadata_img_gps_desc_2			
metadata_img_gps_desc_3			
metadata_img_gps_desc_4			
metadata_img_gps_desc_5			
metadata_gps_button	View GPS location	Afficher localisation GPS	Ver ubicación GPS
metadata_img_error	Image failed loading. Check the URL and try again	Image impossible à charger. Veuillez verifier l'URL et réessayer	Fallo en la carga de la imagen. Compruebe la URL e inténtelo de nuevo
metadata_img_key_Orientation_1	The 0th row represents the visual top of the image, and the 0th column represents the visual left-hand side	La ligne 0 représente le haut visuel de l’image et la colonne 0 représente le visuel de gauche	La fila 0 representa la parte superior visual de la imagen, y la columna 0 representa el lado izquierdo visual.
metadata_img_key_Orientation_2	The 0th row represents the visual top of the image, and the 0th column represents the visual right-hand side	La ligne 0 représente le sommet visuel de l’image et la colonne 0 représente le visuel de droite	La fila 0 representa la parte superior visual de la imagen, y la columna 0 representa el lado derecho visual.
metadata_img_key_Orientation_3	The 0th row represents the visual bottom of the image, and the 0th column represents the visual right-hand side	La ligne 0 représente le bas visuel de l'image et la colonne 0 représente le côté droit de l'image	La fila 0 representa la parte inferior visual de la imagen, y la columna 0 representa la parte derecha visual.
metadata_img_key_Orientation_4	The 0th row represents the visual bottom of the image, and the 0th column represents the visual left-hand side	La ligne 0 représente le bas visuel de l’image et la colonne 0 représente le visuel gauche de l'image	La fila 0 representa la parte inferior visual de la imagen, y la columna 0 representa el lado izquierdo visual.
metadata_img_key_Orientation_5	The 0th row represents the visual left-hand side of the image, and the 0th column represents the visual top	La ligne 0 représente le côté gauche visuel de l'image et la colonne 0 représente le sommet visuel	La fila 0 representa el lado izquierdo visual de la imagen, y la columna 0 representa la parte superior visual.
metadata_img_key_Orientation_6	The 0th row represents the visual right-hand side of the image, and the 0th column represents the visual top	La ligne 0 représente le côté droit visuel de l’image et la colonne 0 représente le sommet visuel	La fila 0 representa el lado derecho visual de la imagen, y la columna 0 representa la parte superior visual.
metadata_img_key_Orientation_7	The 0th row represents the visual right-hand side of the image, and the 0th column represents the visual bottom	La ligne 0 représente le côté droit visuel de l’image et la colonne 0 représente le bas visuel	La fila 0 representa el lado derecho visual de la imagen, y la columna 0 representa el fondo visual.
metadata_img_key_Orientation_8	The 0th row represents the visual left-hand side of the image, and the 0th column represents the visual bottom	La ligne 0 représente le côté gauche visuel de l'image et la colonne 0 représente le bas visuel	La fila 0 representa el lado izquierdo visual de la imagen, y la columna 0 representa el fondo visual.
